Alginate/AAm Hydrogel Force (N) vs. Time (s),,,,BEHAF Force (N) vs. Time (s),,
(Date),Time (s),Force (N),,(Date),Time (s) Run 31,Force (N) Run 31
03/17/2022 12:55:00 PM,12.1,12/31/1899 11:45:36 AM,,,,
03/17/2022 12:55:00 PM,12.15,12/31/1899 11:31:12 AM,,,,
03/17/2022 12:55:00 PM,12.2,12/31/1899 11:31:12 AM,,,,
03/17/2022 12:55:00 PM,12.25,12/31/1899 11:45:36 AM,,,,
03/17/2022 12:55:00 PM,12.3,12/31/1899 12:14:24 PM,,,,
03/17/2022 12:55:00 PM,12.35,12/31/1899 12:14:24 PM,,,,
03/17/2022 12:55:00 PM,12.4,12/31/1899 12:28:48 PM,,,,
03/17/2022 12:55:00 PM,12.45,12/31/1899 12:28:48 PM,,,,
03/17/2022 12:55:00 PM,12.5,12/31/1899 12:43:12 PM,,,,
03/17/2022 12:55:00 PM,12.55,12/31/1899 12:28:48 PM,,,,
03/17/2022 12:55:00 PM,12.6,12/31/1899 12:43:12 PM,,,,
03/17/2022 12:55:00 PM,12.65,12/31/1899 12:57:36 PM,,,,
03/17/2022 12:55:00 PM,12.7,12/31/1899 1:26:24 PM,,,,
03/17/2022 12:55:00 PM,12.75,12/31/1899 1:40:48 PM,,,,
03/17/2022 12:55:00 PM,12.8,12/31/1899 1:55:12 PM,,,,
03/17/2022 12:55:00 PM,12.85,12/31/1899 1:55:12 PM,,,,
03/17/2022 12:55:00 PM,12.9,12/31/1899 2:09:36 PM,,,,
03/17/2022 12:55:00 PM,12.95,12/31/1899 2:24:00 PM,,,,
03/17/2022 12:55:01 PM,13,12/31/1899 1:55:12 PM,,,,
03/17/2022 12:55:01 PM,13.05,12/31/1899 2:09:36 PM,,,,
03/17/2022 12:55:01 PM,13.1,12/31/1899 2:24:00 PM,,,,
03/17/2022 12:55:01 PM,13.15,12/31/1899 2:38:24 PM,,,,
03/17/2022 12:55:01 PM,13.2,12/31/1899 2:52:48 PM,,,,
03/17/2022 12:55:01 PM,13.25,12/31/1899 2:52:48 PM,,,,
03/17/2022 12:55:01 PM,13.3,12/31/1899 2:52:48 PM,,,,
03/17/2022 12:55:01 PM,13.35,12/31/1899 3:07:12 PM,,,,
03/17/2022 12:55:01 PM,13.4,12/31/1899 3:21:36 PM,,,,
03/17/2022 12:55:01 PM,13.45,12/31/1899 3:07:12 PM,,,,
03/17/2022 12:55:01 PM,13.5,12/31/1899 3:21:36 PM,,,,
03/17/2022 12:55:01 PM,13.55,12/31/1899 3:21:36 PM,,,,
03/17/2022 12:55:01 PM,13.6,12/31/1899 3:36:00 PM,,,,
03/17/2022 12:55:01 PM,13.65,12/31/1899 3:36:00 PM,,,,
03/17/2022 12:55:01 PM,13.7,12/31/1899 3:36:00 PM,,,,
03/17/2022 12:55:01 PM,13.75,12/31/1899 3:36:00 PM,,,,
03/17/2022 12:55:01 PM,13.8,12/31/1899 3:36:00 PM,,,,
03/17/2022 12:55:01 PM,13.85,12/31/1899 3:36:00 PM,,,,
03/17/2022 12:55:01 PM,13.9,12/31/1899 3:50:24 PM,,,,
03/17/2022 12:55:01 PM,13.95,12/31/1899 4:04:48 PM,,,,
03/17/2022 12:55:02 PM,14,12/31/1899 4:33:36 PM,,,,
03/17/2022 12:55:02 PM,14.05,12/31/1899 4:48:00 PM,,,,
03/17/2022 12:55:02 PM,14.1,12/31/1899 4:33:36 PM,,,,
03/17/2022 12:55:02 PM,14.15,12/31/1899 4:33:36 PM,,,,
03/17/2022 12:55:02 PM,14.2,12/31/1899 4:48:00 PM,,,,
03/17/2022 12:55:02 PM,14.25,12/31/1899 5:16:48 PM,,,,
03/17/2022 12:55:02 PM,14.3,12/31/1899 5:45:36 PM,,,,
03/17/2022 12:55:02 PM,14.35,12/31/1899 6:43:12 PM,,,,
03/17/2022 12:55:02 PM,14.4,12/31/1899 7:12:00 PM,,,,
03/17/2022 12:55:02 PM,14.45,12/31/1899 7:12:00 PM,,,,
03/17/2022 12:55:02 PM,14.5,12/31/1899 7:40:48 PM,,,,
03/17/2022 12:55:02 PM,14.55,12/31/1899 7:40:48 PM,,,,
03/17/2022 12:55:02 PM,14.6,12/31/1899 7:40:48 PM,,,,
03/17/2022 12:55:02 PM,14.65,12/31/1899 7:40:48 PM,,,,
03/17/2022 12:55:02 PM,14.7,12/31/1899 7:55:12 PM,,,,
03/17/2022 12:55:02 PM,14.75,12/31/1899 7:55:12 PM,,,,
03/17/2022 12:55:02 PM,14.8,12/31/1899 8:09:36 PM,,,,
03/17/2022 12:55:02 PM,14.85,12/31/1899 8:09:36 PM,,,,
03/17/2022 12:55:02 PM,14.9,12/31/1899 8:24:00 PM,,,,
03/17/2022 12:55:02 PM,14.95,12/31/1899 8:38:24 PM,,,,
03/17/2022 12:55:03 PM,15,12/31/1899 8:52:48 PM,,,,
03/17/2022 12:55:03 PM,15.05,12/31/1899 9:07:12 PM,,,,
03/17/2022 12:55:03 PM,15.1,12/31/1899 8:52:48 PM,,,,
03/17/2022 12:55:03 PM,15.15,12/31/1899 8:38:24 PM,,,,
03/17/2022 12:55:03 PM,15.2,12/31/1899 8:52:48 PM,,,,
03/17/2022 12:55:03 PM,15.25,12/31/1899 8:38:24 PM,,,,
03/17/2022 12:55:03 PM,15.3,12/31/1899 9:07:12 PM,,,,
03/17/2022 12:55:03 PM,15.35,12/31/1899 9:21:36 PM,,,,
03/17/2022 12:55:03 PM,15.4,12/31/1899 9:36:00 PM,,,,
03/17/2022 12:55:03 PM,15.45,12/31/1899 9:50:24 PM,,,,
03/17/2022 12:55:03 PM,15.5,12/31/1899 10:19:12 PM,,,,
03/17/2022 12:55:03 PM,15.55,12/31/1899 10:19:12 PM,,,,
03/17/2022 12:55:03 PM,15.6,12/31/1899 10:48:00 PM,,,,
03/17/2022 12:55:03 PM,15.65,12/31/1899 10:48:00 PM,,,,
03/17/2022 12:55:03 PM,15.7,12/31/1899 11:02:24 PM,,,,
03/17/2022 12:55:03 PM,15.75,12/31/1899 10:48:00 PM,,,,
03/17/2022 12:55:03 PM,15.8,12/31/1899 10:48:00 PM,,,,
03/17/2022 12:55:03 PM,15.85,12/31/1899 10:48:00 PM,,,,
03/17/2022 12:55:03 PM,15.9,12/31/1899 11:02:24 PM,,,,
03/17/2022 12:55:03 PM,15.95,12/31/1899 11:16:48 PM,,,,
03/17/2022 12:55:04 PM,16,12/31/1899 11:45:36 PM,,,,
03/17/2022 12:55:04 PM,16.05,01/01/1900 12:00:00 AM,,,,
03/17/2022 12:55:04 PM,16.1,01/01/1900 12:00:00 AM,,,,
03/17/2022 12:55:04 PM,16.15,01/01/1900 12:00:00 AM,,,,
03/17/2022 12:55:04 PM,16.2,01/01/1900 12:14:24 AM,,,,
03/17/2022 12:55:04 PM,16.25,01/01/1900 12:14:24 AM,,,,
03/17/2022 12:55:04 PM,16.3,01/01/1900 12:28:48 AM,,,,
03/17/2022 12:55:04 PM,16.35,01/01/1900 12:43:12 AM,,,,
03/17/2022 12:55:04 PM,16.4,01/01/1900 12:57:36 AM,,,,
03/17/2022 12:55:04 PM,16.45,01/01/1900 12:57:36 AM,,,,
03/17/2022 12:55:04 PM,16.5,01/01/1900 1:12:00 AM,,,,
03/17/2022 12:55:04 PM,16.55,01/01/1900 1:26:24 AM,,,,
03/17/2022 12:55:04 PM,16.6,01/01/1900 1:40:48 AM,,,,
03/17/2022 12:55:04 PM,16.65,01/01/1900 1:55:12 AM,,,,
03/17/2022 12:55:04 PM,16.7,01/01/1900 1:55:12 AM,,,,
03/17/2022 12:55:04 PM,16.75,01/01/1900 1:40:48 AM,,,,
03/17/2022 12:55:04 PM,16.8,01/01/1900 1:55:12 AM,,,,
03/17/2022 12:55:04 PM,16.85,01/01/1900 2:09:36 AM,,,,
03/17/2022 12:55:04 PM,16.9,01/01/1900 2:38:24 AM,,,,
03/17/2022 12:55:04 PM,16.95,01/01/1900 2:38:24 AM,,,,
03/17/2022 12:55:05 PM,17,01/01/1900 2:52:48 AM,,,,
03/17/2022 12:55:05 PM,17.05,01/01/1900 2:24:00 AM,,,,
03/17/2022 12:55:05 PM,17.1,01/01/1900 2:24:00 AM,,,,
03/17/2022 12:55:05 PM,17.15,01/01/1900 2:38:24 AM,,,,
03/17/2022 12:55:05 PM,17.2,01/01/1900 2:52:48 AM,,,,
03/17/2022 12:55:05 PM,17.25,01/01/1900 3:21:36 AM,,,,
03/17/2022 12:55:05 PM,17.3,01/01/1900 3:21:36 AM,,,,
03/17/2022 12:55:05 PM,17.35,01/01/1900 3:21:36 AM,,,,
03/17/2022 12:55:05 PM,17.4,01/01/1900 3:36:00 AM,,,,
03/17/2022 12:55:05 PM,17.45,01/01/1900 3:21:36 AM,,,,
03/17/2022 12:55:05 PM,17.5,01/01/1900 3:21:36 AM,,,,
03/17/2022 12:55:05 PM,17.55,01/01/1900 3:21:36 AM,,,,
03/17/2022 12:55:05 PM,17.6,01/01/1900 3:50:24 AM,,,,
03/17/2022 12:55:05 PM,17.65,01/01/1900 3:50:24 AM,,,,
03/17/2022 12:55:05 PM,17.7,01/01/1900 3:50:24 AM,,,,
03/17/2022 12:55:05 PM,17.75,01/01/1900 4:04:48 AM,,,,
03/17/2022 12:55:05 PM,17.8,01/01/1900 4:04:48 AM,,,,
03/17/2022 12:55:05 PM,17.85,01/01/1900 4:19:12 AM,,,,
03/17/2022 12:55:05 PM,17.9,01/01/1900 4:48:00 AM,,,,
03/17/2022 12:55:05 PM,17.95,01/01/1900 4:48:00 AM,,,,
03/17/2022 12:55:06 PM,18,01/01/1900 4:33:36 AM,,,,
03/17/2022 12:55:06 PM,18.05,01/01/1900 5:02:24 AM,,,,
03/17/2022 12:55:06 PM,18.1,01/01/1900 5:16:48 AM,,,,
03/17/2022 12:55:06 PM,18.15,01/01/1900 5:16:48 AM,,,,
03/17/2022 12:55:06 PM,18.2,01/01/1900 5:02:24 AM,,,,
03/17/2022 12:55:06 PM,18.25,01/01/1900 5:16:48 AM,,,,
03/17/2022 12:55:06 PM,18.3,01/01/1900 5:16:48 AM,,,,
03/17/2022 12:55:06 PM,18.35,01/01/1900 5:31:12 AM,,,,
03/17/2022 12:55:06 PM,18.4,01/01/1900 6:00:00 AM,,,,
03/17/2022 12:55:06 PM,18.45,01/01/1900 6:00:00 AM,,,,
03/17/2022 12:55:06 PM,18.5,01/01/1900 6:43:12 AM,,,,
03/17/2022 12:55:06 PM,18.55,01/01/1900 6:43:12 AM,,,,
03/17/2022 12:55:06 PM,18.6,01/01/1900 6:28:48 AM,,,,
03/17/2022 12:55:06 PM,18.65,01/01/1900 6:28:48 AM,,,,
03/17/2022 12:55:06 PM,18.7,01/01/1900 6:43:12 AM,,,,
03/17/2022 12:55:06 PM,18.75,01/01/1900 6:43:12 AM,,,,
03/17/2022 12:55:06 PM,18.8,01/01/1900 6:57:36 AM,,,,
03/17/2022 12:55:06 PM,18.85,01/01/1900 6:57:36 AM,,,,
03/17/2022 12:55:06 PM,18.9,01/01/1900 6:57:36 AM,,,,
03/17/2022 12:55:06 PM,18.95,01/01/1900 6:57:36 AM,,,,
03/17/2022 12:55:07 PM,19,01/01/1900 6:57:36 AM,,,,
03/17/2022 12:55:07 PM,19.05,01/01/1900 7:12:00 AM,,,,
03/17/2022 12:55:07 PM,19.1,01/01/1900 7:12:00 AM,,,,
03/17/2022 12:55:07 PM,19.15,01/01/1900 7:12:00 AM,,,,
03/17/2022 12:55:07 PM,19.2,01/01/1900 7:40:48 AM,,,,
03/17/2022 12:55:07 PM,19.25,01/01/1900 7:40:48 AM,,,,
03/17/2022 12:55:07 PM,19.3,01/01/1900 7:55:12 AM,,,,
03/17/2022 12:55:07 PM,19.35,01/01/1900 7:55:12 AM,,,,
03/17/2022 12:55:07 PM,19.4,01/01/1900 8:09:36 AM,,,,
03/17/2022 12:55:07 PM,19.45,01/01/1900 8:09:36 AM,,,,
03/17/2022 12:55:07 PM,19.5,01/01/1900 8:09:36 AM,,,,
03/17/2022 12:55:07 PM,19.55,01/01/1900 8:09:36 AM,,,,
03/17/2022 12:55:07 PM,19.6,01/01/1900 8:09:36 AM,,,,
03/17/2022 12:55:07 PM,19.65,01/01/1900 8:09:36 AM,,,,
03/17/2022 12:55:07 PM,19.7,01/01/1900 8:24:00 AM,,,,
03/17/2022 12:55:07 PM,19.75,01/01/1900 8:24:00 AM,,,,
03/17/2022 12:55:07 PM,19.8,01/01/1900 8:38:24 AM,,,,
03/17/2022 12:55:07 PM,19.85,01/01/1900 8:52:48 AM,,,,
03/17/2022 12:55:07 PM,19.9,01/01/1900 9:07:12 AM,,,,
03/17/2022 12:55:07 PM,19.95,01/01/1900 8:52:48 AM,,,,
03/17/2022 12:55:08 PM,20,01/01/1900 9:07:12 AM,,,,
03/17/2022 12:55:08 PM,20.05,01/01/1900 9:07:12 AM,,,,
03/17/2022 12:55:08 PM,20.1,01/01/1900 9:07:12 AM,,,,
03/17/2022 12:55:08 PM,20.15,01/01/1900 9:07:12 AM,,,,
03/17/2022 12:55:08 PM,20.2,01/01/1900 8:52:48 AM,,,,
03/17/2022 12:55:08 PM,20.25,01/01/1900 8:52:48 AM,,,,
03/17/2022 12:55:08 PM,20.3,01/01/1900 8:52:48 AM,,,,
03/17/2022 12:55:08 PM,20.35,01/01/1900 9:07:12 AM,,,,
03/17/2022 12:55:08 PM,20.4,01/01/1900 9:07:12 AM,,,,
03/17/2022 12:55:08 PM,20.45,01/01/1900 9:21:36 AM,,,,
03/17/2022 12:55:08 PM,20.5,01/01/1900 9:07:12 AM,,,,
03/17/2022 12:55:08 PM,20.55,01/01/1900 8:52:48 AM,,,,
03/17/2022 12:55:08 PM,20.6,01/01/1900 9:07:12 AM,,,,
03/17/2022 12:55:08 PM,20.65,01/01/1900 8:52:48 AM,,,,
03/17/2022 12:55:08 PM,20.7,01/01/1900 8:52:48 AM,,,,
03/17/2022 12:55:08 PM,20.75,01/01/1900 8:38:24 AM,,,,
03/17/2022 12:55:08 PM,20.8,01/01/1900 8:24:00 AM,,,,
03/17/2022 12:55:08 PM,20.85,01/01/1900 8:24:00 AM,,,,
03/17/2022 12:55:08 PM,20.9,01/01/1900 8:38:24 AM,,,,
03/17/2022 12:55:08 PM,20.95,01/01/1900 8:38:24 AM,,,,
03/17/2022 12:55:09 PM,21,01/01/1900 8:24:00 AM,,,,
03/17/2022 12:55:09 PM,21.05,01/01/1900 8:38:24 AM,,,,
03/17/2022 12:55:09 PM,21.1,01/01/1900 9:07:12 AM,,,,
03/17/2022 12:55:09 PM,21.15,01/01/1900 9:36:00 AM,,,,
03/17/2022 12:55:09 PM,21.2,01/01/1900 9:36:00 AM,,,,
03/17/2022 12:55:09 PM,21.25,01/01/1900 9:36:00 AM,,,,
03/17/2022 12:55:09 PM,21.3,01/01/1900 9:21:36 AM,,,,
03/17/2022 12:55:09 PM,21.35,01/01/1900 9:21:36 AM,,,,
03/17/2022 12:55:09 PM,21.4,01/01/1900 9:50:24 AM,,,,
03/17/2022 12:55:09 PM,21.45,01/01/1900 10:04:48 AM,,,,
03/17/2022 12:55:09 PM,21.5,01/01/1900 10:19:12 AM,,,,
03/17/2022 12:55:09 PM,21.55,01/01/1900 10:19:12 AM,,,,
03/17/2022 12:55:09 PM,21.6,01/01/1900 10:33:36 AM,,,,
03/17/2022 12:55:09 PM,21.65,01/01/1900 10:33:36 AM,,,,
03/17/2022 12:55:09 PM,21.7,01/01/1900 10:33:36 AM,,,,
03/17/2022 12:55:09 PM,21.75,01/01/1900 10:33:36 AM,,,,
03/17/2022 12:55:09 PM,21.8,01/01/1900 10:48:00 AM,,,,
03/17/2022 12:55:09 PM,21.85,01/01/1900 11:16:48 AM,,,,
03/17/2022 12:55:09 PM,21.9,01/01/1900 11:31:12 AM,,,,
03/17/2022 12:55:09 PM,21.95,01/01/1900 11:31:12 AM,,,,
03/17/2022 12:55:10 PM,22,01/01/1900 11:31:12 AM,,,,
03/17/2022 12:55:10 PM,22.05,01/01/1900 11:31:12 AM,,,,
03/17/2022 12:55:10 PM,22.1,01/01/1900 11:31:12 AM,,,,
03/17/2022 12:55:10 PM,22.15,01/01/1900 11:31:12 AM,,,,
03/17/2022 12:55:10 PM,22.2,01/01/1900 12:00:00 PM,,,,
03/17/2022 12:55:10 PM,22.25,01/01/1900 12:43:12 PM,,,,
03/17/2022 12:55:10 PM,22.3,01/01/1900 12:57:36 PM,,,,
03/17/2022 12:55:10 PM,22.35,01/01/1900 1:12:00 PM,,,,
03/17/2022 12:55:10 PM,22.4,01/01/1900 1:26:24 PM,,,,
03/17/2022 12:55:10 PM,22.45,01/01/1900 1:12:00 PM,,,,
03/17/2022 12:55:10 PM,22.5,01/01/1900 12:43:12 PM,,,,
03/17/2022 12:55:10 PM,22.55,01/01/1900 12:43:12 PM,,,,
03/17/2022 12:55:10 PM,22.6,01/01/1900 12:57:36 PM,,,,
03/17/2022 12:55:10 PM,22.65,01/01/1900 12:43:12 PM,,,,
03/17/2022 12:55:10 PM,22.7,01/01/1900 1:12:00 PM,,,,
03/17/2022 12:55:10 PM,22.75,01/01/1900 1:12:00 PM,,,,
03/17/2022 12:55:10 PM,22.8,01/01/1900 12:57:36 PM,,,,
03/17/2022 12:55:10 PM,22.85,01/01/1900 12:28:48 PM,,,,
03/17/2022 12:55:10 PM,22.9,01/01/1900 12:14:24 PM,,,,
03/17/2022 12:55:10 PM,22.95,01/01/1900 12:14:24 PM,,,,
03/17/2022 12:55:11 PM,23,01/01/1900 12:14:24 PM,,,,
03/17/2022 12:55:11 PM,23.05,01/01/1900 12:14:24 PM,,,,
03/17/2022 12:55:11 PM,23.1,01/01/1900 12:28:48 PM,,,,
03/17/2022 12:55:11 PM,23.15,01/01/1900 12:28:48 PM,,,,
03/17/2022 12:55:11 PM,23.2,01/01/1900 12:28:48 PM,,,,
03/17/2022 12:55:11 PM,23.25,01/01/1900 12:43:12 PM,,,,
03/17/2022 12:55:11 PM,23.3,01/01/1900 12:57:36 PM,,,,
03/17/2022 12:55:11 PM,23.35,01/01/1900 12:57:36 PM,,,,
03/17/2022 12:55:11 PM,23.4,01/01/1900 12:57:36 PM,,,,
03/17/2022 12:55:11 PM,23.45,01/01/1900 12:28:48 PM,,,,
03/17/2022 12:55:11 PM,23.5,01/01/1900 12:43:12 PM,,,,
03/17/2022 12:55:11 PM,23.55,01/01/1900 12:28:48 PM,,,,
03/17/2022 12:55:11 PM,23.6,01/01/1900 12:43:12 PM,,,,
03/17/2022 12:55:11 PM,23.65,01/01/1900 12:43:12 PM,,,,
03/17/2022 12:55:11 PM,23.7,01/01/1900 12:43:12 PM,,,,
03/17/2022 12:55:11 PM,23.75,01/01/1900 12:14:24 PM,,,,
03/17/2022 12:55:11 PM,23.8,01/01/1900 12:14:24 PM,,,,
03/17/2022 12:55:11 PM,23.85,01/01/1900 12:00:00 PM,,,,
03/17/2022 12:55:11 PM,23.9,01/01/1900 12:28:48 PM,,,,
03/17/2022 12:55:11 PM,23.95,01/01/1900 12:43:12 PM,,,,
03/17/2022 12:55:12 PM,24,01/01/1900 12:57:36 PM,,,,
03/17/2022 12:55:12 PM,24.05,01/01/1900 1:12:00 PM,,,,
03/17/2022 12:55:12 PM,24.1,01/01/1900 1:12:00 PM,,,,
03/17/2022 12:55:12 PM,24.15,01/01/1900 12:57:36 PM,,,,
03/17/2022 12:55:12 PM,24.2,01/01/1900 12:43:12 PM,,,,
03/17/2022 12:55:12 PM,24.25,01/01/1900 12:28:48 PM,,,,
03/17/2022 12:55:12 PM,24.3,01/01/1900 12:28:48 PM,,,,
03/17/2022 12:55:12 PM,24.35,01/01/1900 12:43:12 PM,,,,
03/17/2022 12:55:12 PM,24.4,01/01/1900 12:57:36 PM,,,,
03/17/2022 12:55:12 PM,24.45,01/01/1900 1:12:00 PM,,,,
03/17/2022 12:55:12 PM,24.5,01/01/1900 12:57:36 PM,,,,
03/17/2022 12:55:12 PM,24.55,01/01/1900 12:43:12 PM,,,,
03/17/2022 12:55:12 PM,24.6,01/01/1900 12:14:24 PM,,,,
03/17/2022 12:55:12 PM,24.65,01/01/1900 12:28:48 PM,,,,
03/17/2022 12:55:12 PM,24.7,01/01/1900 12:14:24 PM,,,,
03/17/2022 12:55:12 PM,24.75,01/01/1900 12:14:24 PM,,,,
03/17/2022 12:55:12 PM,24.8,01/01/1900 12:14:24 PM,,,,
03/17/2022 12:55:12 PM,24.85,01/01/1900 12:14:24 PM,,,,
03/17/2022 12:55:12 PM,24.9,01/01/1900 12:00:00 PM,,,,
03/17/2022 12:55:12 PM,24.95,01/01/1900 11:31:12 AM,,,,
03/17/2022 12:55:13 PM,25,01/01/1900 11:31:12 AM,,,,
03/17/2022 12:55:13 PM,25.05,01/01/1900 11:31:12 AM,,,,
03/17/2022 12:55:13 PM,25.1,01/01/1900 11:31:12 AM,,,,
03/17/2022 12:55:13 PM,25.15,01/01/1900 11:16:48 AM,,,,
03/17/2022 12:55:13 PM,25.2,01/01/1900 11:16:48 AM,,,,
03/17/2022 12:55:13 PM,25.25,01/01/1900 11:02:24 AM,,,,
03/17/2022 12:55:13 PM,25.3,01/01/1900 11:16:48 AM,,,,
03/17/2022 12:55:13 PM,25.35,01/01/1900 11:02:24 AM,,,,
03/17/2022 12:55:13 PM,25.4,01/01/1900 11:02:24 AM,,,,
03/17/2022 12:55:13 PM,25.45,01/01/1900 10:33:36 AM,,,,
03/17/2022 12:55:13 PM,25.5,01/01/1900 10:48:00 AM,,,,
03/17/2022 12:55:13 PM,25.55,01/01/1900 10:48:00 AM,,,,
03/17/2022 12:55:13 PM,25.6,01/01/1900 10:19:12 AM,,,,
03/17/2022 12:55:13 PM,25.65,01/01/1900 9:50:24 AM,,,,
03/17/2022 12:55:13 PM,25.7,01/01/1900 9:36:00 AM,,,,
03/17/2022 12:55:13 PM,25.75,01/01/1900 9:21:36 AM,,,,
03/17/2022 12:55:13 PM,25.8,01/01/1900 9:21:36 AM,,,,
03/17/2022 12:55:13 PM,25.85,01/01/1900 9:21:36 AM,,,,
03/17/2022 12:55:13 PM,25.9,01/01/1900 9:07:12 AM,,,,
03/17/2022 12:55:13 PM,25.95,01/01/1900 8:52:48 AM,,,,
03/17/2022 12:55:14 PM,26,01/01/1900 8:52:48 AM,,,,
03/17/2022 12:55:14 PM,26.05,01/01/1900 8:24:00 AM,,,,
03/17/2022 12:55:14 PM,26.1,01/01/1900 8:38:24 AM,,,,
03/17/2022 12:55:14 PM,26.15,01/01/1900 8:24:00 AM,,,,
03/17/2022 12:55:14 PM,26.2,01/01/1900 8:38:24 AM,,,,
03/17/2022 12:55:14 PM,26.25,01/01/1900 7:55:12 AM,,,,
03/17/2022 12:55:14 PM,26.3,01/01/1900 7:40:48 AM,,,,
03/17/2022 12:55:14 PM,26.35,01/01/1900 7:12:00 AM,,,,
03/17/2022 12:55:14 PM,26.4,01/01/1900 7:12:00 AM,,,,
03/17/2022 12:55:14 PM,26.45,01/01/1900 7:12:00 AM,,,,
03/17/2022 12:55:14 PM,26.5,01/01/1900 6:57:36 AM,,,,
03/17/2022 12:55:14 PM,26.55,01/01/1900 6:28:48 AM,,,,
03/17/2022 12:55:14 PM,26.6,01/01/1900 6:14:24 AM,,,,
03/17/2022 12:55:14 PM,26.65,01/01/1900 5:02:24 AM,,,,
03/17/2022 12:55:14 PM,26.7,01/01/1900 4:33:36 AM,,,,
03/17/2022 12:55:14 PM,26.75,12/30/1899 1:12:00 AM,,,,
03/17/2022 12:55:14 PM,26.8,12/30/1899 12:00:00 AM,,,,
